17:02:06 (00:00:30) (chat)  anksi: Kreygasm Kreygasm
18:13:14 (01:11:37) (chat)  Diletant_: спасибо
18:13:14 (01:11:38) (chat)  PupkaNyash: !wasteland
18:13:15 (01:11:38) (chat)  wlgboy: @PupkaNyash вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 59 минут.
18:13:15 (01:11:39) (chat)  Skvatorix: @nimferna wlgDen wlgFlowers
18:13:19 (01:11:42) (chat)  LudaHicava: @nimferna wlg5 wlgGillette
18:13:23 (01:11:46) (chat)  ilich3250: PartyTime
18:13:28 (01:11:52) (chat)  Tonymafacka: Да шо же за игра такая)) перебираете коробки и усё LUL
18:13:30 (01:11:53) (chat)  ultimusromanorum: Зачем тебе ботинки Мулов?
18:13:34 (01:11:57) (chat)  Nimferna: @skvatorix popkor1Love @ludahicava nmfLove
18:13:35 (01:11:59) (chat)  Min_Payne: а в металгирах было норм с интерфейсом?
18:13:40 (01:12:04) (chat)  karimov_dark: @welovegames nutraaDEVIL nutraaHi nutraaLove nutraaLove
18:13:55 (01:12:19) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
18:13:56 (01:12:20) (chat)  spoiler_tea: зря копим чтоль BibleThump BibleThump
18:13:57 (01:12:21) (chat)  Sanman67: @Takeshi13 Понятно =)) Спасибо за ответ
18:13:59 (01:12:23) (chat)  wlgboy: @ServiceNomaD вы вернулись из пустоши - залог возвращен. Медперсонал убежища заметил у вас в костюме прокол. Необходимо провести обследование. Это займет 79 секунд. Вы обнаружили редкий сундучок с 92 крышкечами. Теперь на вашем балансе 1536 крышечек.
18:14:11 (01:12:34) (chat)  ivan_vasilyev: а если нажать на ТРИУГОЛЬНИК ??
18:14:15 (01:12:39) (chat)  Nimferna: @karimov_dark это кот Саймона!
18:14:19 (01:12:43) (chat)  DMITRYMARRUS: @welovegames Денис а чемоданами во врагов уже швырял?!
18:14:21 (01:12:44) (chat)  RaXephonx: wlgPizza
18:14:23 (01:12:46) (chat)  JohnS31: @WELOVEGAMES у тебя в хранилище 3 уничтоженных предмета
18:14:34 (01:12:57) (chat)  karimov_dark: @nimferna Нутры
18:14:35 (01:12:59) (chat)  Vatomd: !wasteland
18:14:36 (01:12:59) (chat)  memedict_cyberbatch: А такие же башни сбоку по рукам нагрузить нельзя?
18:14:56 (01:13:20) (chat)  wlgboy: @Refokkusu вы вернулись из пустоши - залог возвращен. Вы обнаружили редкий сундучок с 53 крышкечами. Теперь на вашем балансе 2638 крышечек.
18:14:57 (01:13:20) (chat)  LudaHicava: @memedict_cyberbatch wlgGillette
18:14:58 (01:13:21) (chat)  spoiler_tea: @memedict_cyberbatch руки базуки SMOrc SMOrc
18:15:03 (01:13:26) (chat)  Min_Payne: время останавливается, когда инвентарь открываешь?
18:15:03 (01:13:26) (chat)  Maga777maga: Денис а треугольник не решит проблему!!(Авторазмешения груза) или я туплю!?
18:15:20 (01:13:44) (chat)  Tonymafacka: RDR 2 круче явно VoteYea
18:15:24 (01:13:48) (chat)  arti_msk: !wasteland
18:15:25 (01:13:48) (chat)  wlgboy: @arti_msk вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 36 минут.
18:15:28 (01:13:52) (chat)  MusicDope: !wasteland
18:15:29 (01:13:52) (chat)  wlgboy: @MusicDope вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 41 минуту.
18:15:29 (01:13:53) (chat)  BeaverBooh: Ого, так рано стрим? Доброе утро!!! FutureMan FutureMan FutureMan wlg5
18:15:35 (01:13:59) (chat)  wlgboy: прослушать саундтрек из Death Stranding можно по ссылке: https://vk.cc/a02mfe
18:15:38 (01:14:01) (chat)  Refokkusu: !wasteland
18:15:38 (01:14:02) (chat)  wlgboy: @Refokkusu вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 54 минуты.
18:15:39 (01:14:02) (chat)  LionSPb: @beaverbooh здравствуй wlg5 wlgOralb
18:15:42 (01:14:05) (chat)  Nimferna: @beaverbooh etzHi
18:15:43 (01:14:06) (chat)  LudaHicava: @beaverbooh wlg5 wlgGillette
18:15:45 (01:14:09) (chat)  Zlatusya: @welovegames ты можешь положить в тачку и отвезти к нормальному терминалу
18:15:51 (01:14:14) (chat)  5cankhunt42: @WELOVEGAMES а ты не пробовал сам поиграться с балансом?
18:15:51 (01:14:14) (chat)  Takeshi13: @beaverbooh wlg5 wlgHype привет, игра же долгая
18:15:52 (01:14:15) (chat)  karimov_dark: @beaverbooh nutraaHi
18:15:52 (01:14:16) (chat)  EsWers: !mneinteresno
18:16:00 (01:14:24) (chat)  Belkaperdelka: !wasteland
18:16:01 (01:14:24) (chat)  Apelbsinchik: @BeaverBooh katiHug
18:16:05 (01:14:28) (chat)  Ritche_gg: Где вебка SMOrc SMOrc SMOrc
18:16:05 (01:14:28) (chat)  anksi: прихватит 320 кг бадью на машину?
18:16:08 (01:14:31) (chat)  krasavecmujchina: @WELOVEGAMES Можно ревью истории со старта? Я попадаю в основном на интерфейс и прогулку с грузом и вообще не понимаю, что происходит
18:16:11 (01:14:34) (chat)  Maga777maga: Привет а понял посиб
18:16:22 (01:14:45) (chat)  JohnS31: @WELOVEGAMES пора строить дороги, заодно ресурсы потратишь лишние
18:16:27 (01:14:50) (chat)  wlgboy: @Takeshi13 вы вернулись из пустоши - залог возвращен. Вы нашли редкий предмет на старой свалке - [Плазменный пистолет]. К сожалению у вас не было места в инвентаре. Вы надежно спрятали находку, записали координаты местонахождения предмета и продали их перекупщику за 64 крышечки.
18:16:27 (01:14:51) (chat)  PervyiIzKosmosa: !wasteland
18:16:28 (01:14:51) (chat)  wlgboy: @PervyiIzKosmosa вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 55 минут.
18:16:29 (01:14:52) (chat)  LudaHicava: @eswers #derjivkurse
18:16:34 (01:14:57) (chat)  Brung_xxx: А ч епочему он не падает?
18:16:40 (01:15:03) (chat)  damkils: это повтор?
18:16:41 (01:15:04) (chat)  Takeshi13: !wasteland
18:16:41 (01:15:04) (chat)  wlgboy: @Takeshi13 вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 36 минут.
18:16:44 (01:15:07) (chat)  krolikkkk: @welovegames webka
18:16:45 (01:15:09) (chat)  MarcusAvreli: Это запись
18:16:56 (01:15:19) (chat)  Fomikrai: мы все тут боты MrDestructoid
18:16:57 (01:15:20) (chat)  肛门精子温暖我的喉咙: Это закись
18:17:01 (01:15:24) (chat)  Min_Payne: вышли в поле- носим ящики, конец
18:17:02 (01:15:26) (chat)  MarcusAvreli: wlgDeer LurkMode
18:17:05 (01:15:28) (chat)  jfrostt: запись повтора
18:17:05 (01:15:29) (chat)  EsWers: @ludahicava, #derjy_obrash'aysya PixelBob
18:17:06 (01:15:29) (chat)  BeaverBooh: !inv
18:17:06 (01:15:29) (chat)  Tonymafacka: Бот MrDestructoid
18:17:06 (01:15:29) (chat)  wlgboy: @BeaverBooh у вас в инвентаре следующие предметы: 1. [Вяленое мясо] 2. [Пиво] 3. [Дробовик]. Занято слотов: [3/4]
18:17:08 (01:15:31) (chat)  BeaverBooh: !wasteland
18:17:08 (01:15:32) (chat)  wlgboy: @BeaverBooh вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 42 минуты.
18:17:09 (01:15:32) (chat)  Zubokrad: Когда он уже будет продвигаться по сюжету? ResidentSleeper ResidentSleeper ResidentSleeper
18:17:11 (01:15:34) (chat)  indrikh: @WELOVEGAMES Привет, удачных доставок FeelsOkayMan
18:17:12 (01:15:36) (chat)  TsureZure: MrDestructoid
18:17:12 (01:15:36) (chat)  virginiax: это запись для записи
18:17:15 (01:15:38) (chat)  RadioZefir: Да и так норм)
18:17:16 (01:15:40) (chat)  elnar88: кто бот + в чат
18:17:18 (01:15:42) (chat)  PupkaNyash: !inv
18:17:19 (01:15:42) (chat)  wlgboy: @PupkaNyash вы не можете это сделать, пока находитесь в пустоши.
18:17:22 (01:15:45) (chat)  Brung_xxx: +
18:17:23 (01:15:47) (chat)  Shiki228: +
18:17:23 (01:15:47) (chat)  fensmart: Закись повзота.
18:17:24 (01:15:47) (chat)  Mel___: я думал это повтор, разве нет?
18:17:24 (01:15:48) (chat)  PupkaNyash: чорт
18:17:28 (01:15:51) (chat)  LudaHicava: MrDestructoid
18:17:29 (01:15:52) (chat)  LionSPb: +
18:17:30 (01:15:53) (chat)  RadioZefir: Я настолько залип, что забыл про вебку))
18:17:31 (01:15:54) (chat)  Tonymafacka: MrDestructoid
18:17:32 (01:15:55) (chat)  PervyiIzKosmosa: История - идем в гости к сестре.
18:17:33 (01:15:56) (chat)  Mel___: Kappa
18:17:35 (01:15:58) (chat)  AskieR78RUS: @Zubokrad это и есть сюжет! ты не понимаешь гениального замысла
18:17:40 (01:16:03) (chat)  Larrystylinsonaf: MrDestructoid
18:17:48 (01:16:12) (chat)  AskieR78RUS: +
18:17:51 (01:16:14) (chat)  ivan_vasilyev: дорогу строить будешь ??
18:17:55 (01:16:19) (chat)  hans_enroses: Сначала я думал, что вся моя жизнь стрим, а оказалось что то повтор
18:17:57 (01:16:20) (chat)  dckheadztv: это рекаст или повтоп?
18:17:58 (01:16:22) (chat)  wlgboy: @EMOBLAZE вы вернулись из пустоши - залог возвращен. Вы смогли найти мешочек с 28 крышечками. Теперь на вашем балансе 52992 крышечки.
18:17:59 (01:16:22) (chat)  Tenzera: @WELOVEGAMES добрый день, мужчина, а почему роба заключенного на вас?
18:18:06 (01:16:29) (chat)  allodstrix: Всем привет! Скучали по мне?
18:18:07 (01:16:31) (chat)  K0valskyII: K0valskyII gifted a Tier 1 sub to Shiki228! They have given 4 Gift Subs in the channel! 
18:18:10 (01:16:33) (chat)  MyasnoyValun: Почему рот в нефти? :)
18:18:11 (01:16:35) (chat)  LionSPb: wlg5 wlg5 wlg5
18:18:12 (01:16:35) (chat)  Takeshi13: wlg5 wlg5 wlg5
18:18:13 (01:16:37) (chat)  PupkaNyash: !buy
18:18:14 (01:16:37) (chat)  MusicDope: @WELOVEGAMES сегодгя будут промокоды? Champ
18:18:14 (01:16:37) (chat)  wlgboy: @PupkaNyash вы не можете это сделать, пока находитесь в пустоши.
18:18:15 (01:16:39) (chat)  LudaHicava: wlg5 wlg5 wlg5 wlg5
18:18:17 (01:16:40) (chat)  Shinji_loves_Rei: turnMeh turnMeh turnMeh
18:18:18 (01:16:42) (chat)  AlexFAS29: произошёл большой БУМ wlgBoom wlgBoom wlgBoom
18:18:19 (01:16:42) (chat)  Takeshi13: @allodstrix привет
18:18:19 (01:16:43) (chat)  PervyiIzKosmosa: wlg5 wlg5 wlg5 wlg5 wlg5
18:18:20 (01:16:43) (chat)  uga4akaugauga: LUL
18:18:20 (01:16:44) (chat)  5cankhunt42: @WELOVEGAMES однажды произошел взрыв...
18:18:21 (01:16:45) (chat)  PupkaNyash: wlg5 wlg5 wlg5 wlgCheers
18:18:23 (01:16:46) (chat)  karimov_dark: nutraaShype nutraaShype nutraaShype nutraaShype nutraaShype nutraaShype nutraaShype pch3Hyp pch3Hyp pch3Hyp pch3Hyp pch3Hyp pch3Hyp pch3Hyp
18:18:24 (01:16:47) (chat)  virginiax: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
18:18:26 (01:16:49) (chat)  MarcusAvreli: Мне хочется каждый раз выдохнуть после того как персонаж напрягается и вдыхает
18:18:27 (01:16:50) (chat)  R_e_ed: Екарный бабай, сколько новых жителей убежища FBCatch FBCatch FBCatch FBCatch FBCatch FBCatch FBCatch
18:18:27 (01:16:51) (chat)  firestorm_cat: wlg5 wlg5 wlg5 wlg5 wlg5
18:18:27 (01:16:51) (chat)  oh___no: выход смерти произошел, что бы это не значило
18:18:28 (01:16:51) (chat)  homo_cop: LULW
18:18:29 (01:16:52) (chat)  dk_ok: BibleThump BibleThump BibleThump BibleThump
18:18:32 (01:16:55) (chat)  LionSPb: wlgPeka wlgCry
18:18:33 (01:16:56) (chat)  Takeshi13: LUL
18:18:34 (01:16:58) (chat)  KaMyI__I__IeK: WutFace
18:18:35 (01:16:58) (chat)  Moon1982: @K0valskyII PogChamp RaccAttack
18:18:36 (01:16:59) (chat)  wanqoast: wlg5 wlg5 wlg5 wlg5 wlg5
18:18:36 (01:16:59) (chat)  polkilo___: wlg5 wlg5 wlg5
18:18:36 (01:16:59) (chat)  PervyiIzKosmosa: BibleThump
18:18:38 (01:17:01) (chat)  Fomikrai: LULW HYPERCLAP
18:18:39 (01:17:02) (chat)  Belkaperdelka: nitaTHUMP nitaTHUMP nitaTHUMP nitaTHUMP
18:18:39 (01:17:02) (chat)  KuLi4ek: пришли черные дядьки и накакали черной жидкостью везде
18:18:40 (01:17:03) (chat)  Farewell666: а с видео есть?
18:18:40 (01:17:04) (chat)  karimov_dark: PogChamp PogChamp PogChamp CoolStoryBob CoolStoryBob
18:18:42 (01:17:06) (chat)  velaskues: FeelsOkayMan
18:18:45 (01:17:09) (chat)  Nagturn: @welovegames привет! А зачем и почему ботинку сбоку привязаны?
18:18:49 (01:17:12) (chat)  blogdron: Дайте название ролика где мужик страдает пожалуйста
18:18:54 (01:17:17) (chat)  ScaryTale: это можно слушать бесконечно
18:18:54 (01:17:18) (chat)  Outfire: BibleThump BibleThump BibleThump
18:18:55 (01:17:19) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
18:18:56 (01:17:19) (chat)  wiegedood: Kermitpls
18:18:56 (01:17:19) (chat)  dezmond774: @WELOVEGAMES говорили какому-то деду в самом начале карты нужно регулярно лекарства носить, чтоб не умер. ты носишь?
18:19:00 (01:17:23) (chat)  Do9mat: этот монолог прекрасен ) как я понимаю гида )
18:19:05 (01:17:29) (chat)  Min_Payne: про гениальную ходьбу
18:19:06 (01:17:29) (chat)  TonyManson: vatnikVasheZdorovie
18:19:11 (01:17:34) (chat)  dryadshaman: Только сегодня наткнулась на красивый образ по этой игре от Эммы Стоун,но это было еще до релиза и все думали,что она будет в игре, но Кодзима обманул всех @WELOVEGAMES
